T [MeV]	muB [MeV]	chi2B
116	620	0.7669478933555152
117	620	0.7378582136764932
118	620	0.7136998308577903
119	620	0.690807959362862
120	620	0.6686012952563894
125	620	0.5788365551110504
130	620	0.5308659021820592
135	620	0.5079489357792041
140	620	0.49511272663165307
100	625	0.5379251760652365
101	625	0.5999764520819884
102	625	0.6667083619401687
103	625	0.7372655131582015
104	625	0.8136309376785849
105	625	0.9078038637799932
106	625	1.0601155928072272
107	625	1.37487786853669
108	625	2.0105672672022905
109	625	2.78295061361688
110	625	2.7265940743570605
111	625	1.8522212859905869
112	625	1.1879266968518354
113	625	0.9089216230612147
114	625	0.81410894211287
115	625	0.7795024288568302
116	625	0.7591358107431936
117	625	0.7394798292200351
118	625	0.7179418169186276
119	625	0.6950967567835951
120	625	0.6721177883428722
125	625	0.5796121647684764
130	625	0.5319160211855897
135	625	0.5098119518190066
140	625	0.4977338880104109
100	630	0.5849395602228371
101	630	0.6550524475612085
102	630	0.7301433487362193
103	630	0.8096435999827997
104	630	0.8995716488485401
105	630	1.0287199318442533
106	630	1.289715570806086
107	630	1.8878753243548694
108	630	2.8576635329825417
109	630	3.1098568587118915
110	630	2.09708797182424
111	630	1.2369267992413429
112	630	0.9068986008843787
113	630	0.8179756691908732
114	630	0.7963743282110343
115	630	0.7845293902257563
116	630	0.7684340955899577
117	630	0.7470336388492227
118	630	0.7223357860379356
119	630	0.6965179423795647
120	630	0.6712203027604247
125	630	0.5753727009045704
130	630	0.5294314225757633
135	630	0.5093516636011955
140	630	0.4988759531425648
