T [MeV]	muB [MeV]	nB/T^3	s/T^3
175	120	0.13059669691539216	8.047252780281646
175	130	0.14215914025079518	8.082403239057479
175	140	0.15387087854839737	8.120247344195281
175	150	0.16573870750584757	8.160755664679241
175	160	0.17776871583838225	8.203896780114487
175	170	0.18996635248999277	8.249637631128179
175	180	0.20233650906408276	8.297943915262204
175	190	0.2148836133541128	8.348780509528318
175	200	0.22761172927633605	8.402111899895637
175	210	0.2405246582939998	8.45790259878943
175	220	0.2536260376303678	8.516117533980507
175	230	0.26691943110640826	8.576722395659173
175	240	0.2804084092338134	8.639683932551378
175	250	0.2940966161928356	8.704970192169041
175	260	0.3079878223236049	8.772550704264106
175	270	0.32208596177460563	8.842396609952624
175	280	0.3363951557542972	8.914480741587324
175	290	0.3509197225838187	8.988777660208363
175	300	0.36566417618134917	9.065263658319406
175	310	0.38063321490817215	9.143916735926469
175	320	0.3958317028252504	9.224716557393027
175	330	0.41126464537116486	9.307644395873208
175	340	0.4269371613103451	9.392683071050175
175	350	0.4428544526120965	9.479816884767494
175	360	0.45902177362194563	9.569031558007302
175	370	0.47544440065540544	9.660314171619317
175	380	0.4921276028827575	9.753653112286685
175	390	0.5090766150812	9.849038024451433
175	400	0.5262966126980709	9.946459768318862
175	410	0.543792689438218	10.045910383608168
175	420	0.5615698374841129	10.1473830583972
175	430	0.5796329303139744	10.25087210212329
175	440	0.5979867080516762	10.356372922206877
175	450	0.6166357651786619	10.463882002299947
175	460	0.6355845404475966	10.573396882353475
175	470	0.6548373087814235	10.684916138724772
175	480	0.6743981749647919	10.798439363745064
175	490	0.6942710689271671	10.913967143901395
175	500	0.7144597424050645	11.031501035926116
175	510	0.7349677668292727	11.151043540181046
175	520	0.7557985322528208	11.272598070813924
175	530	0.7769552471758178	11.396168922250174
175	540	0.798440939120539	11.521761231663792
175	550	0.820258455880836	11.649380937141924
175	560	0.84241046727635	11.77903473132456
175	570	0.8648994673771528	11.910730010356907
175	580	0.8877277771120066	12.044474838605113
175	590	0.9108975471590339	12.180277811698367
175	600	0.9344107611043106	12.31814805515269
180	0	0.	8.404977674449027
180	10	0.011038559274472675	8.406321325212469
180	20	0.022089027592529165	8.4103511318589
180	30	0.03316321126553367	8.417063656078499
180	40	0.044272713414711715	8.426453164130368
180	50	0.05542883809592004	8.438511626640839
180	60	0.06664250136114673	8.453228727039841
180	70	0.07792415164052333	8.470591886117159
180	80	0.08928370179004813	8.490586310678545
180	90	0.1007304750046938	8.51319507376868
180	100	0.11227316650424221	8.538399232410592
180	110	0.1239198224399247	8.566177986411331
180	120	0.1356778368419109	8.596508878734344
180	130	0.14755396667147144	8.629368034561177
180	140	0.15955436418965213	8.664730432832142
180	150	0.17168462500155354	8.702570201145265
180	160	0.1839498493442975	8.742860922735254
180	170	0.1963547135406576	8.785575943087297
180	180	0.2089035481077231	8.830688663674726
180	190	0.2216004188243409	8.878172811319516
180	200	0.2344492071246329	8.928002673605326
180	210	0.24745368650802096	8.980153293372304
